"districts","risk_classes","total_frequency","total_area_sq_m","total_area_sq_km","percentage_risk"
"Rupandehi","Very Low",29646,296460000,296.46,55.6586061880445
"Salyan","Very Low",113329,1133290000,1133.29,45.5793694523429
"Sankhuwasabha","Very Low",146962,1469620000,1469.62,48.1200496386789
"Saptari","Very Low",30253,302530000,302.53,71.1483737447379
"Sarlahi","Very Low",36414,364140000,364.14,70.1294199214236
"Sindhuli","Very Low",192208,1922080000,1922.08,53.4092108992492
"Sindhupalchok","Very Low",91948,919480000,919.48,38.9957165274185
"Siraha","Very Low",17318,173180000,173.18,54.848926331792
"Solukhumbu","Very Low",85855,858550000,858.55,42.1614268737048
"Sunsari","Very Low",31613,316130000,316.13,66.1789026356005
"Surkhet","Very Low",181702,1817020000,1817.02,51.4875108031907
"Syangja","Very Low",57276,572760000,572.76,34.5306565382528
"Tanahu","Very Low",102526,1025260000,1025.26,39.5605837275527
"Taplejung","Very Low",105803,1058030000,1058.03,41.8806159205162
"Terhathum","Very Low",22006,220060000,220.06,28.0717420144913
"Udayapur","Very Low",182325,1823250000,1823.25,57.3323815932632
